Country,Index,Week,Closing Price
Israel,TA125,07/02/2020,376.86
Israel,TA125,14/02/2020,372.48
Israel,TA125,21/02/2020,376.38
Israel,TA125,28/02/2020,347.2
Israel,TA125,06/03/2020,325.59
Israel,TA125,13/03/2020,265.58
Israel,TA125,20/03/2020,276.84
Israel,TA125,27/03/2020,277.34
Israel,TA125,03/04/2020,276.96
Israel,TA125,10/04/2020,294.83
Israel,TA125,17/04/2020,290
Israel,TA125,24/04/2020,308.13
Israel,TA125,01/05/2020,321.09
Israel,TA125,08/05/2020,324.12
Israel,TA125,15/05/2020,311
Israel,TA125,22/05/2020,327.55
Israel,TA125,29/05/2020,326.86
Israel,TA125,05/06/2020,321.64
Taiwan,TAIEX,10/01/2020,307.34
Taiwan,TAIEX,17/01/2020,310.36
Taiwan,TAIEX,24/01/2020,308.51
Taiwan,TAIEX,31/01/2020,286.99
Taiwan,TAIEX,07/02/2020,298.6
Taiwan,TAIEX,14/02/2020,301.66
Taiwan,TAIEX,21/02/2020,296.56
Taiwan,TAIEX,28/02/2020,292.42
Taiwan,TAIEX,06/03/2020,290.22
Taiwan,TAIEX,13/03/2020,273.8
Taiwan,TAIEX,20/03/2020,262.1
Taiwan,TAIEX,27/03/2020,258
Taiwan,TAIEX,03/04/2020,260.7
Taiwan,TAIEX,10/04/2020,271.59
Taiwan,TAIEX,17/04/2020,282.28
Taiwan,TAIEX,24/04/2020,278.15
Taiwan,TAIEX,01/05/2020,294.13
Taiwan,TAIEX,08/05/2020,294.41
Taiwan,TAIEX,15/05/2020,298.29
Taiwan,TAIEX,22/05/2020,295.58
Taiwan,TAIEX,29/05/2020,296.03
Taiwan,TAIEX,05/06/2020,305.49
Canada,TSX,10/01/2020,"10,113.01"
Canada,TSX,17/01/2020,"10,333.52"
Canada,TSX,24/01/2020,"10,221.63"
Canada,TSX,31/01/2020,"9,913.87"
Canada,TSX,07/02/2020,"10,289.29"
Canada,TSX,14/02/2020,"10,323.82"
Canada,TSX,21/02/2020,"10,405.85"
Canada,TSX,28/02/2020,"9,469.74"
Canada,TSX,06/03/2020,"9,236.02"
Canada,TSX,13/03/2020,"8,094.85"
Canada,TSX,20/03/2020,"7,088.89"
Canada,TSX,27/03/2020,"7,287.76"
Canada,TSX,03/04/2020,"7,431.35"
Canada,TSX,10/04/2020,"8,154.34"
Canada,TSX,17/04/2020,"8,207.43"
Canada,TSX,24/04/2020,"8,268.55"
Canada,TSX,01/05/2020,"8,303.30"
Canada,TSX,08/05/2020,"8,662.87"
Canada,TSX,15/05/2020,"8,572.60"
Canada,TSX,22/05/2020,"8,761.26"
Canada,TSX,29/05/2020,"8,938.82"
Canada,TSX,05/06/2020,"9,326.55"
